,doc,word,freq
145,1,113,2
146,1,114,1
147,1,115,2
148,1,116,2
149,1,117,2
150,1,118,1
151,1,119,3
152,1,2,1
153,1,124,2
154,1,125,1
155,1,127,4
156,2,128,3
157,2,131,1
158,2,132,2
159,2,5,3
160,2,6,2
161,2,136,1
162,2,137,2
163,2,10,2
164,2,11,6
165,2,14,1
166,2,143,1
167,2,144,2
168,2,17,2
169,2,18,3
170,2,19,4
171,2,9,4
172,2,22,3
173,2,25,1
174,2,26,1
175,2,28,1
176,2,29,1
177,2,31,4
178,2,32,3
179,2,33,2
180,2,34,1
181,2,36,2
182,2,37,3
183,2,133,1
184,2,40,2
185,2,41,1
186,2,42,7
187,2,45,6
188,2,46,1
189,2,47,2
190,2,8,1
191,2,51,1
192,2,52,1
193,2,53,2
194,2,55,2
195,2,139,1
196,2,59,1
197,2,134,1
198,2,63,1
199,2,15,1
200,2,66,1
201,2,67,2
202,2,69,1
203,2,71,1
204,2,72,1
205,2,73,4
206,2,74,2
207,2,75,2
208,2,76,1
209,2,77,1
210,2,79,4
211,2,82,1
212,2,84,5
213,2,86,2
214,2,87,2
215,2,88,1
216,2,90,2
217,2,91,3
218,2,94,3
219,2,96,1
220,2,98,2
221,2,100,3
222,2,101,2
223,2,102,6
224,2,105,2
225,2,107,4
226,2,108,6
227,2,112,1
228,2,113,1
229,2,114,2
230,2,115,1
231,2,116,2
232,2,117,1
233,2,119,1
234,2,120,1
235,2,121,2
236,2,125,3
237,2,127,2
238,3,1,1
239,3,2,1
240,3,4,1
241,3,5,3
242,3,7,1
243,3,11,4
244,3,12,1
245,3,13,1
246,3,14,1
247,3,16,4
248,3,17,3
249,3,19,3
250,3,24,1
251,3,25,2
252,3,26,4
253,3,27,2
254,3,28,1
255,3,29,1
256,3,30,1
257,3,31,1
258,3,32,7
259,3,36,1
260,3,37,1
261,3,40,2
262,3,41,2
263,3,42,10
264,3,44,2
265,3,45,6
266,3,46,1
267,3,52,2
268,3,54,2
269,3,55,1
270,3,59,2
271,3,61,2
272,3,62,1
273,3,63,1
274,3,67,1
275,3,68,1
276,3,69,1
277,3,70,2
278,3,73,2
279,3,74,1
280,3,75,1
281,3,76,1
282,3,77,3
283,3,79,1
284,3,80,2
285,3,81,2
286,3,83,2
287,3,84,4
288,3,85,1
289,3,86,1
290,3,87,3
291,3,88,1
292,3,89,3
293,3,90,1
294,3,91,4
295,3,93,2
296,3,94,4
297,3,95,1
298,3,96,1
299,3,97,1
300,3,98,3
301,3,100,5
302,3,101,6
303,3,102,2
304,3,104,1
305,3,105,2
306,3,107,1
307,3,108,3
308,3,109,1
309,3,110,1
310,3,111,3
311,3,113,1
312,3,114,3
313,3,115,1
314,3,117,1
315,3,118,1
316,3,119,1
317,3,121,2
318,3,123,1
319,3,124,2
320,3,125,1
321,3,127,4
322,3,128,2
323,3,129,1
324,3,131,1
325,3,132,2
326,3,134,2
327,3,135,1
328,3,136,1
329,3,137,2
330,3,139,1
331,3,140,2
332,3,142,6
333,3,143,1
334,3,144,2
335,4,128,1
336,4,129,2
337,4,130,1
338,4,3,1
339,4,132,1
340,4,5,2
341,4,134,3
342,4,7,1
343,4,136,5
344,4,137,4
345,4,138,1
346,4,139,4
347,4,140,2
348,4,142,1
349,4,143,2
350,4,16,3
351,4,17,2
352,4,18,1
353,4,19,4
354,4,22,2
355,4,23,1
356,4,25,1
357,4,28,2
358,4,29,1
359,4,30,2
360,4,31,1
361,4,32,3
362,4,33,1
363,4,34,1
364,4,37,4
365,4,40,3
366,4,41,2
367,4,42,7
368,4,45,2
369,4,47,2
370,4,49,1
371,4,52,5
372,4,53,2
373,4,9,1
374,4,56,1
375,4,57,1
376,4,59,1
377,4,62,1
378,4,66,7
379,4,67,6
380,4,69,1
381,4,70,1
382,4,73,1
383,4,74,3
384,4,75,1
385,4,76,5
386,4,77,1
387,4,79,1
388,4,11,2
389,4,84,6
390,4,87,2
391,4,90,4
392,4,91,3
393,4,94,3
394,4,144,2
395,4,98,2
396,4,99,3
397,4,100,5
398,4,102,2
399,4,103,2
400,4,105,1
401,4,107,5
402,4,108,1
403,4,109,3
404,4,111,2
405,4,112,1
406,4,113,1
407,4,114,9
408,4,117,1
409,4,121,2
410,4,124,2
411,4,125,4
412,4,127,5
413,5,128,1
414,5,133,1
415,5,6,1
416,5,137,2
417,5,10,3
418,5,11,7
419,5,12,1
420,5,13,1
421,5,142,1
422,5,18,1
423,5,22,2
424,5,23,1
425,5,26,1
426,5,28,4
427,5,30,1
428,5,32,2
429,5,33,1
430,5,37,4
431,5,40,2
432,5,14,1
433,5,43,1
434,5,45,3
435,5,46,2
436,5,52,3
437,5,9,2
438,5,139,1
439,5,59,1
440,5,61,1
441,5,134,1
442,5,42,7
443,5,67,1
444,5,68,1
445,5,69,4
446,5,70,5
447,5,72,1
448,5,73,4
449,5,75,1
450,5,76,1
451,5,80,1
452,5,82,3
453,5,83,2
454,5,84,1
455,5,85,1
456,5,86,1
457,5,87,2
458,5,89,1
459,5,91,3
460,5,93,3
461,5,95,1
462,5,96,1
463,5,98,1
464,5,100,1
465,5,102,1
466,5,103,4
467,5,107,1
468,5,108,7
469,5,110,1
470,5,111,1
471,5,114,2
472,5,115,2
473,5,117,3
474,5,118,1
475,5,121,1
476,5,122,1
477,5,123,1
478,5,125,1
479,6,128,3
480,6,132,1
481,6,134,1
482,6,9,1
483,6,10,1
484,6,11,3
485,6,13,1
486,6,142,2
487,6,143,1
488,6,16,1
489,6,17,2
490,6,18,1
491,6,27,1
492,6,28,1
493,6,29,1
494,6,32,1
495,6,37,2
496,6,41,2
497,6,45,3
498,6,46,1
499,6,52,1
500,6,137,2
501,6,56,1
502,6,58,2
503,6,59,1
504,6,60,1
505,6,65,2
506,6,66,2
507,6,139,1
508,6,69,1
509,6,70,3
510,6,97,1
511,6,72,1
512,6,74,2
513,6,76,4
514,6,79,1
515,6,84,2
516,6,85,1
517,6,87,1
518,6,93,1
519,6,96,1
520,6,144,2
521,6,98,3
522,6,100,1
523,6,101,3
524,6,103,2
525,6,105,2
526,6,107,6
527,6,108,6
528,6,109,1
529,6,110,1
530,6,114,1
531,6,117,1
532,6,120,1
533,6,121,2
534,6,122,1
535,6,127,1
536,7,128,1
537,7,1,1
538,7,3,2
539,7,132,2
540,7,5,3
541,7,6,1
542,7,7,1
543,7,8,1
544,7,137,4
545,7,139,2
546,7,140,1
547,7,13,2
548,7,142,1
549,7,143,1
550,7,16,2
551,7,11,5
552,7,19,3
553,7,17,1
554,7,22,2
555,7,27,2
556,7,28,1
557,7,29,1
558,7,31,3
559,7,32,2
560,7,34,1
561,7,38,1
562,7,39,3
563,7,40,1
564,7,41,2
565,7,42,5
566,7,45,3
567,7,46,1
568,7,47,4
569,7,48,1
570,7,136,4
571,7,52,2
572,7,53,2
573,7,54,2
574,7,9,2
575,7,57,3
576,7,61,2
577,7,63,1
578,7,65,1
579,7,66,2
580,7,67,4
581,7,68,1
582,7,70,1
583,7,71,2
584,7,73,5
585,7,74,3
586,7,75,3
587,7,76,2
588,7,77,1
589,7,141,3
590,7,80,3
591,7,84,2
592,7,85,1
593,7,86,1
594,7,89,1
595,7,90,4
596,7,91,3
597,7,92,1
598,7,93,1
599,7,94,2
600,7,95,3
601,7,144,4
602,7,98,2
603,7,99,1
604,7,100,1
605,7,102,4
606,7,103,2
607,7,105,1
608,7,107,4
609,7,108,4
610,7,109,4
611,7,129,1
612,7,112,2
613,7,113,1
614,7,114,4
615,7,115,3
616,7,116,5
617,7,117,1
618,7,121,3
619,7,125,1
620,7,127,1
621,8,1,1
622,8,3,1
623,8,5,2
624,8,6,1
625,8,8,1
626,8,9,1
627,8,14,1
628,8,16,1
629,8,17,2
630,8,18,2
631,8,22,1
632,8,26,2
633,8,27,1
634,8,30,1
635,8,31,1
636,8,32,3
637,8,34,1
638,8,36,1
639,8,39,3
640,8,40,1
641,8,41,3
642,8,43,1
643,8,44,1
644,8,45,2
645,8,46,2
646,8,47,3
647,8,48,1
648,8,49,1
649,8,50,1
650,8,52,1
651,8,54,1
652,8,55,2
653,8,57,3
654,8,60,1
655,8,62,2
656,8,63,1
657,8,64,1
658,8,66,5
659,8,67,2
660,8,69,2
661,8,70,3
662,8,73,1
663,8,75,1
664,8,77,1
665,8,78,3
666,8,79,2
667,8,80,2
668,8,81,3
669,8,84,2
670,8,85,1
671,8,87,2
672,8,88,1
673,8,89,2
674,8,90,1
675,8,91,1
676,8,94,3
677,8,95,4
678,8,96,1
679,8,98,1
680,8,99,3
681,8,100,7
682,8,101,1
683,8,102,1
684,8,103,3
685,8,105,1
686,8,106,1
687,8,107,5
688,8,108,3
689,8,109,2
690,8,110,1
691,8,111,2
692,8,113,1
693,8,114,3
694,8,115,1
695,8,121,1
696,8,124,1
697,8,125,1
698,8,127,2
699,8,128,1
700,8,129,1
701,8,131,1
702,8,133,1
703,8,134,2
704,8,136,3
705,8,139,5
706,8,140,5
707,8,141,3
708,8,142,1
709,8,144,1
710,9,128,2
711,9,3,2
712,9,132,1
713,9,5,1
714,9,6,1
715,9,136,1
716,9,9,1
717,9,11,3
718,9,141,1
719,9,142,3
720,9,22,1
721,9,28,2
722,9,29,1
723,9,31,2
724,9,32,4
725,9,133,1
726,9,34,1
727,9,134,1
728,9,39,1
729,9,40,1
730,9,41,1
731,9,42,3
732,9,47,1
733,9,50,1
734,9,52,3
735,9,57,1
736,9,139,1
737,9,61,2
738,9,67,1
739,9,69,1
740,9,77,1
741,9,78,1
742,9,13,1
743,9,80,1
744,9,82,1
745,9,83,1
746,9,84,1
747,9,14,2
748,9,90,1
749,9,98,1
750,9,100,5
751,9,107,2
752,9,108,4
753,9,114,4
754,9,115,1
755,9,120,1
756,9,125,1
757,10,128,1
758,10,129,4
759,10,131,1
760,10,132,1
761,10,6,1
762,10,8,2
763,10,9,1
764,10,138,1
765,10,11,4
766,10,140,1
767,10,13,1
768,10,142,1
769,10,143,2
770,10,16,1
771,10,19,1
772,10,20,1
773,10,22,1
774,10,31,1
775,10,32,2
776,10,37,2
777,10,39,1
778,10,41,3
779,10,45,2
780,10,47,3
781,10,136,1
782,10,52,1
783,10,53,1
784,10,55,1
785,10,59,2
786,10,65,1
787,10,67,1
788,10,68,2
789,10,70,2
790,10,97,2
791,10,73,4
792,10,74,1
793,10,76,1
794,10,79,5
795,10,82,1
796,10,83,1
797,10,139,1
798,10,14,1
799,10,89,1
800,10,91,2
801,10,144,1
802,10,98,1
803,10,99,1
804,10,100,1
805,10,101,3
806,10,102,2
807,10,104,1
808,10,108,1
809,10,110,1
810,10,114,1
811,10,115,2
812,10,118,2
813,10,124,1
814,11,128,1
815,11,129,1
816,11,4,1
817,11,5,1
818,11,1,1
819,11,136,2
820,11,137,1
821,11,10,1
822,11,11,1
823,11,13,1
824,11,14,1
825,11,143,1
826,11,144,1
827,11,18,1
828,11,19,2
829,11,20,2
830,11,25,1
831,11,26,2
832,11,27,2
833,11,29,1
834,11,31,1
835,11,35,3
836,11,38,3
837,11,49,1
